nome,busca_pt
Pizzaria,
Português,"portugueses,portugues,bacalhoada,bacalhau,bolinho,caldo verde"
Suíço,
"Bares e Botecos","bares,bar,happy,hour,chopp,cerveja,buteco,boteco,barzinho,chopperia,cervejaria"
Sertaneja,"sertanejo,country"
GLS,"balada,gay,gls,glt,boates,discotecas,disco"
Samba,"samba,salsa,merengue,tango,pagode"
"Pop Rock","pop,rock,musica,vivo"
Eletrônica,"eletronica,eletro,tecno,techno,rave,"
Black,"black,music"
Lojas,"lojas,compras"
"Cosmético / Perfumaria","cosmeticos,perfumaria,perfume,maquiagem,cremes,hidratantes,masculino,feminino"
Joalheria,"bijouterias,brincos,colares,aneis,anel,pingente,joalheia,joias"
"Móvel / Decoração","moveis,decoracao,armario"
Eletro-Eletrônicos,"eletrodomesticos, eletronicos"
"Artigos Esportivos","artigos,esportivos,esportes"
Brinquedos,"brinquedos,brinquedo,carrinho,boneca,barbie,games,jogos,videogame,games,bonecos"
Calçados,"calcados,tenis,botas,coturno,sapatos,sandalias,sandalhas,chinelo,tamanco"
"Cama, Mesa e Banho","cama,mesa,banho,toalha,lencol,travesseiro"
Farmácia,"farmacia,remedios,manipulacao,drogaria"
Livraria,"livros,livraria"
"Loja de Departamentos",departamento
"Utilidades Domésticas","cozinha, moveis, equipamentos"
"Roupa Íntima","babydoll,calcinha,lingerie,cueca,meias,pijama,meiacalca,sutia,soutien,espartilho"
"Roupa Esportiva / Praia","biquini,bikini,sunga,maio"
Ótica,"otica,optica,oculos,lentes,contato"
Papelaria,"papelarias,papelaria,material,escritorio,escolar"
Tabacaria,"tabaco,cigarro,charuto,cigarrilha,cachimbo"
"Roupa Feminina","roupas,vestuario,feminino,mulher,calcinha,baby look,vestidos,saias,biquinis,bikini,batas,lingeries"
"Roupa Masculina","roupa,masculino,masculina,vestuario,terno,gravata,cueca,camisa,camiseta,calca,social"
"Roupa Infantil","vestuario,roupas,infantil,calca,blusa,camiseta,bermuda"
Vestuário,Roupas
Supermercado,"mercado,super,mercado,supremercado,mercadinho"
Celular,"celulares,celular,telefone"
"Entretenimento e Lazer",entretenimento
Cinema,"cinema,filmes"
Teatro,"teatros,espetáculo,teatro"
"Casa de Shows","shows,espetáculos,casa"
"Shopping Center","shopping,galeria,galerias"
Esportes,esportes
Academia,"academia,ginastica,gym"
"Armazéns e Mercados",
"Café / Coffee Shop","café, chá"
Doceria,"doceria,doces,bolos,sobremesas,chocolate,doçarias"
Padaria,"padaria,panificadora"
"Sorveteria / Frozen Yogurt","sorveteria,sorvetes,gellato,sorbet, yogurt"
Adega,"vinhos,enoteca,enologia"
Feiras,"feiras,feira,livre"
Serviços,
"Serviços de Limpeza","limpeza,faxina,faxineira"
"Design de Interiores","decoradora,decoracao,decorador"
Chaveiros,"chaveiros,chaveiro,chaves"
"Segurança / Comunicação / Automação","automacao,residencial,casas"
Empreiteira,"construtoras,construtora,empreiteiro"
Sapateiro,"sapateiro,sapataria"
Lavanderias,"lavanderia,lavagem,seco"
Cartórios,"cartórios,cartorio"
Auto-escolas,"auto-escola,auto,escola,curso,direção"
Correios,"correios,sedex"
"Lan Houses","informática,lanhouse,lan,house,computadores,manutenção"
Açougue,"açougue,açogue,carnes,açogueiro,açougueiro,casa"
Floricultura,"flores,floricultura,arranjos,buques,rosas"
Gráficas,"gráfica,copiadora,serox,graficas,copiadoras"
Futebol,futebol
Tênis,"tenis,quadras"
Squash,"squash,quadras"
Natação,"nata��o,piscina"
Ciclismo,"ciclismo,bicicleta"
Golfe,golfe
Fliperama,"games,jogos"
Kart,kart
Paintball,paintball
Saúde,"saude,médico,medicina"
Dentistas,dentistas
Fonoaudiólogos,"fonoaudiologo,fono"
Fisioterapeuta,"fisioterapia,fisioterapeuta"
Psicólogos,"psciolooco,terapeuta,terapia"
Nutricionistas,nutricionista
"Hospitais e Maternidades","hospital,hospitais,clinicas"
Laboratórios,"laboratorios,exames,exame"
Terapeutas,"terapia,ocupacional,terapeuta"
"Casas de Repouso","Casa,Repouso, terceira idade, idosos"
Spa,"spa,massagem"
Equitação,equitacao
Surf,surf
"Artes Marciais","artes,marciais,lutas,luta,academia"
Dança,dança
Museu,"museus,museu,galerias,galeria,arte"
Advogados,"advogados,advocagia,advogada"
Contadores,"contadores,contador,contabilidade"
"Sex shops","sexshop,sex,shop,sexo"
Videolocadoras,"locadora,vídeo-locadora,video,filmes"
Veículos,"carros,carro"
"Posto de Gasolina","posto,gasolina,postos"
Concessionárias,"concessionaria,carros,carro"
Mecânica,"oficina, mecânico, martelinho"
"Auto Peças","auto-pecas,automoveis,pecas,carros"
"Pneus, Alinhamento e Balanceamento","pneus,alinhamento,balanceamento,cambagem"
Guincho,"guincho,guinchos"
Som,"som,automotivo,caixas,acusticas,modulo,amplificador,alto-falante,alto,falante,player"
"Lava Rápido","lava,rapido,lava-rapido"
"Viagens e Turismo","viagem,viagens"
Hotel,"hotel,hoteis"
Pousada,pousadas
"Locadora de Veículos","aluguel,carros,veículos,locadora,automoveis,automovel"
"Agência de Turismo","agencia,turismo,viagens,viagem"
Albergue,"albergue,hostel"
Educação,"educacao,escola"
Escola,"colegio,escolas"
"Faculdades e Universidades","faculdade,universidade"
"Escola de Idiomas","escola,idiomas,linguas"
Cursinhos,"cursos,preparatorios"
"Curso Profissionalizante","cursos,profissionalizantes"
Pesca,"pesca,pescaria,peixes"
Mergulho,mergulho
Boliche,boliche
Tuning,tuning
"Esportes Radicais","esportes,radicais"
Blindagem,"blindagem,blindado"
Informática,"informatica,computadores,acessorios,notebooks"
Outlet,"outlets,ponta de estoque,ponta,estoque"
Resort,resort
"Construção e Reformas","construcao,casa"
"Serviços Públicos","servicos,publicos"
Imobiliária,"imoveis,imovel"
"Telecom e Energia","telecomunicações, telecomunicacao, energia, luz, telefone, telefonia"
Igreja,"religiao,igrejas"
Motoboys,logistica
Fábrica,
"Passeador de Cães","dogwalker,passeador,caes,cachorrodog,walker"
"Vidro Automotivo",vidros
"Lojas de Motocicletas","concessionaria,motos"
Estacionamentos,"estacionamentos,estacionamento"
"Buffet e Quilo","quilo,kilo"
"Clube de Comédia","stand up,comedia, stand,up,standup"
"Jazz / Blues","jazz,blues"
Karaokê,karaoke
Sinuca,"bilhas,sinuca,mesa,snooker,bar"
"Ar Livre","turismo,pontos,turisticos"
Africano,"africano,africa"
Americano,Americano
Asiático,"Asiáticos - Fusão"
Indonésio,indonesia
Mediterrâneo,Mediterrâneo
Russo,"russo,rossia"
"Vegetariano / Vegano","vegetariano,vegetais,veggan"
Clubes,"Clubes, esporte, "
Parque,Parques
Pub,Pubs
Tela,"Alambrados,Telas"
Climatização,"aquecedor,aquecimento"
"Banheiro / Lavatório","Banheiras,jacuzzi,sauna"
Caçamba,"cacamba,entulho"
Jardinagem,piscina
"Dedetização - Descupinização","dedetizacao,pragas,dedetizador,baratas"
"Desentupidora e Encanadores","desentupidora,encanamento,encanador"
"Gesso / Dry Wall",divisorias
"Elétrica / Iluminação",eletrica
"Materiais de Construção",escadas
"Porta / Janela  / Persiana","esquadrias,portas,janelas"
"Ferramentas / Ferragem",ferramentas
Hidráulica,hidraulica
Marcenaria,"marcenaria,marceneiro"
Marmoraria,"marmoraria,marmore"
"Piso / Revestimento","azulejos,pisos"
Serralheiro,"serralheria,serralheiro,portoes,portao,porta"
Pintor,"pintores,tintas"
"Toldo / Telha",toldos
Vidraçaria,"vidros,vidro,vidracaria"
Casa,"moveis,casa,estantes,movel"
Escritório,"movel,escritorio,moveis,mesas"
Lanchonete,"Lanchonete, Hamburger, burger, sanduíche,milkshake, shake"
Bancos,"bancos,banco"
"Corretores de Seguros","corretor,seguro,corretores,seguradora"
Financeiras,"financas,seguros,financeiras"
Praia,"praias,praia,mar"
"Suco Natural","sucos,frutas"
Salgados,"salgados,salgadinhos,coxinha,empada"
Despachantes,Despachante
Alfaiate,"Costura,Alfaiate"
Brechó,"brecho,roupas,usadas"
Lotéricas,"lotérica,loteria,casas,lotericas"
Empregos,"empregos,agencia,rh,trabalho"
"Delegacias de Polícia","delegacia,polícia"
Tapeçaria,"sofa, estofado,tapeçaria,tapeteiros,tapetes"
"Distribuidora de Água","agua, distribuidor, "
"Funerárias e Cemitérios","funeral, funerarias, enterro, "
